DEBUG:root:Time[26885.03815 ms]: Job[30], END, 4499.865838050464
DEBUG:root:Time[26886.22926 ms]: Job[41], START, G8
DEBUG:root:Time[27190.90331 ms]: Job[42], ARRIVE, gpt-4
DEBUG:root:Time[27618.01492 ms]: Job[43], ARRIVE, gpt-4
DEBUG:root:Time[27646.17178 ms]: Job[27], END, 6584.814159611109
DEBUG:root:Time[27687.73718 ms]: Job[37], START, G6-G7
DEBUG:root:Time[27819.69669 ms]: Job[39], START, G8-G9
DEBUG:root:Time[27839.96926 ms]: Job[41], END, 1231.5763548358227
DEBUG:root:Time[28090.27341 ms]: Job[28], END, 6164.882901548866
DEBUG:root:Time[28100.39070 ms]: Job[35], START, G12-G13-G14-G15
DEBUG:root:Time[29049.98006 ms]: Job[23], END, 9600.80812585252
DEBUG:root:Time[29050.96501 ms]: Job[38], START, G0-G1-G2-G3
DEBUG:root:Time[29164.18534 ms]: Job[31], END, 6152.205507083363
DEBUG:root:Time[29693.65252 ms]: Job[44], ARRIVE, gpt-4
DEBUG:root:Time[30320.67345 ms]: Job[39], END, 4386.168656747588
DEBUG:root:Time[30327.96113 ms]: Job[42], START, G8-G9-G10-G11
DEBUG:root:Time[30447.34298 ms]: Job[45], ARRIVE, vgg16-4
DEBUG:root:Time[30627.07024 ms]: Job[35], END, 6582.754379547576
DEBUG:root:Time[30641.91981 ms]: Job[43], START, G12-G13-G14-G15
DEBUG:root:Time[30723.54269 ms]: Job[46], ARRIVE, mobilenet-4
DEBUG:root:Time[31109.87205 ms]: Job[47], ARRIVE, vgg16-4
DEBUG:root:Time[31466.28785 ms]: Job[48], ARRIVE, resnet50-4
DEBUG:root:Time[31628.97809 ms]: Job[49], ARRIVE, vgg16-4
DEBUG:root:Time[31927.19922 ms]: Job[11], END, 21952.76220272905
DEBUG:root:Time[34022.42517 ms]: Job[50], ARRIVE, gpt-2
DEBUG:root:Time[34022.42517 ms]: Job[50], START, G4-G5
DEBUG:root:Time[34224.47893 ms]: Job[51], ARRIVE, mobilenet-2
DEBUG:root:Time[35620.05911 ms]: Job[51], START, G0-G1
DEBUG:root:Time[35620.33180 ms]: Job[38], END, 10233.385831918531
DEBUG:root:Time[36129.63834 ms]: Job[52], ARRIVE, gpt-4
DEBUG:root:Time[36899.25181 ms]: Job[53], ARRIVE, resnet50-2
DEBUG:root:Time[36899.25181 ms]: Job[53], START, G2-G3
DEBUG:root:Time[37615.90004 ms]: Job[51], END, 3391.4211091100005
DEBUG:root:Time[38594.81831 ms]: Job[54], ARRIVE, gpt-4
DEBUG:root:Time[38616.82984 ms]: Job[55], ARRIVE, vgg16-4
DEBUG:root:Time[38665.04750 ms]: Job[15], START, G8-G9-G10-G11
DEBUG:root:Time[38666.00359 ms]: Job[42], END, 11475.100282773736
DEBUG:root:Time[38963.12195 ms]: Job[53], END, 2063.870136450918
DEBUG:root:Time[38964.04336 ms]: Job[46], START, G0-G1-G2-G3
DEBUG:root:Time[38978.45766 ms]: Job[ 9], START, G12-G13-G14-G15
DEBUG:root:Time[38979.96226 ms]: Job[43], END, 11361.947349038874
DEBUG:root:Time[39932.76470 ms]: Job[56], ARRIVE, gpt-4
DEBUG:root:Time[40162.08226 ms]: Job[57], ARRIVE, gpt-4
DEBUG:root:Time[40231.75131 ms]: Job[15], END, 27318.250547091797
DEBUG:root:Time[40237.75502 ms]: Job[56], START, G8-G9-G10-G11
DEBUG:root:Time[40495.14026 ms]: Job[46], END, 9771.597569159538
DEBUG:root:Time[40509.13546 ms]: Job[57], START, G0-G1-G2-G3
DEBUG:root:Time[40752.95701 ms]: Job[58], ARRIVE, resnet50-1
DEBUG:root:Time[40919.34352 ms]: Job[59], ARRIVE, gpt-4
DEBUG:root:Time[43793.81885 ms]: Job[57], END, 3631.736592325273
DEBUG:root:Time[43797.40437 ms]: Job[58], START, G0
DEBUG:root:Time[45291.11409 ms]: Job[56], END, 5358.349384428671
DEBUG:root:Time[45291.15180 ms]: Job[59], START, G1-G2-G8-G3
DEBUG:root:Time[45753.26527 ms]: Job[12], START, G0-G9-G10-G11
DEBUG:root:Time[45786.13437 ms]: Job[58], END, 5033.177357846624
DEBUG:root:Time[46188.41254 ms]: Job[50], END, 12165.987368421047
DEBUG:root:Time[47827.04924 ms]: Job[59], END, 6907.705719676771
DEBUG:root:Time[49577.70764 ms]: Job[37], END, 24477.55301655621
DEBUG:root:Time[49598.51236 ms]: Job[19], START, G4-G5-G6-G7
DEBUG:root:Time[49692.70339 ms]: Job[ 9], END, 42296.684651043266
DEBUG:root:Time[49716.25236 ms]: Job[21], START, G12-G13-G14-G15
DEBUG:root:Time[57812.06337 ms]: Job[24], START, G4-G5-G6-G7
DEBUG:root:Time[57840.23984 ms]: Job[19], END, 42139.68309366579
DEBUG:root:Time[62903.01633 ms]: Job[21], END, 45349.72238657078
DEBUG:root:Time[62921.93538 ms]: Job[26], START, G12-G13-G14-G15
DEBUG:root:Time[74295.51834 ms]: Job[24], END, 54758.05798053753
DEBUG:root:Time[74319.06731 ms]: Job[32], START, G4-G5-G6-G7
DEBUG:root:Time[74954.85799 ms]: Job[33], START, G8-G9-G10-G11
DEBUG:root:Time[74954.85799 ms]: Job[34], START, G0-G1-G2-G3
DEBUG:root:Time[74987.78187 ms]: Job[12], END, 63946.9456830318
DEBUG:root:Time[76085.15281 ms]: Job[36], START, G12-G13-G14-G15
DEBUG:root:Time[76108.69935 ms]: Job[26], END, 55936.402149570335
DEBUG:root:Time[83196.58548 ms]: Job[34], END, 59466.142535270934
DEBUG:root:Time[83196.58548 ms]: Job[40], START, G0-G1-G2-G3
DEBUG:root:Time[84326.88029 ms]: Job[36], END, 60005.01885212954
DEBUG:root:Time[84373.97581 ms]: Job[44], START, G12-G13-G14-G15
DEBUG:root:Time[92615.70329 ms]: Job[44], END, 62922.05077520367
DEBUG:root:Time[92615.70329 ms]: Job[52], START, G12-G13-G14-G15
DEBUG:root:Time[96383.34945 ms]: Job[40], END, 70151.56963334241
DEBUG:root:Time[96383.34945 ms]: Job[54], START, G0-G1-G2-G3
DEBUG:root:Time[100857.43078 ms]: Job[52], END, 64727.79244117884
DEBUG:root:Time[100904.52629 ms]: Job[48], START, G12-G13-G14-G15
DEBUG:root:Time[101516.76801 ms]: Job[32], END, 78314.53741522624
DEBUG:root:Time[101519.76481 ms]: Job[ 8], START, G4-G5-G6-G7
DEBUG:root:Time[102110.99434 ms]: Job[25], START, G8-G9-G10-G11
DEBUG:root:Time[102152.55869 ms]: Job[33], END, 78581.02510536736
DEBUG:root:Time[104542.67693 ms]: Job[48], END, 73076.38907601943
DEBUG:root:Time[104546.96434 ms]: Job[45], START, G12-G13-G14-G15
DEBUG:root:Time[112856.95672 ms]: Job[47], START, G0-G1-G2-G3
DEBUG:root:Time[112866.80442 ms]: Job[54], END, 74271.9861123042
DEBUG:root:Time[117066.61529 ms]: Job[49], START, G8-G9-G10-G11
DEBUG:root:Time[117074.81005 ms]: Job[25], END, 97162.82262574381
DEBUG:root:Time[120546.57243 ms]: Job[55], START, G12-G13-G14-G15
DEBUG:root:Time[120554.76719 ms]: Job[45], END, 90107.42421331043
DEBUG:root:Time[121355.52053 ms]: Job[ 8], END, 114300.06004082874
DEBUG:root:Time[128168.76815 ms]: Job[47], END, 97058.89609200676
DEBUG:root:Time[137250.36672 ms]: Job[55], END, 98633.53687903003
DEBUG:root:Time[138990.34529 ms]: Job[49], END, 107361.36719416949
