DEBUG:root:Time[121167.43948 ms]: Job[74], END, 108893.91083314056
DEBUG:root:Time[124904.70815 ms]: Job[76], START, G8-G9-G10-G11-G12-G13-G14-G15
DEBUG:root:Time[124909.06057 ms]: Job[75], END, 112413.61584206329
DEBUG:root:Time[125508.20815 ms]: Job[78], START, G52
DEBUG:root:Time[125508.20815 ms]: Job[77], START, G48-G49-G50-G51
DEBUG:root:Time[125523.61815 ms]: Job[57], END, 116429.47700297587
DEBUG:root:Time[127641.80815 ms]: Job[79], START, G52-G53-G54-G55
DEBUG:root:Time[127671.38815 ms]: Job[78], END, 114242.35760954607
DEBUG:root:Time[128623.08170 ms]: Job[79], END, 115128.63753389803
DEBUG:root:Time[130671.80815 ms]: Job[80], START, G48-G49-G50-G51-G52-G53-G54-G55
DEBUG:root:Time[130672.74682 ms]: Job[77], END, 117405.25018442886
DEBUG:root:Time[131762.20815 ms]: Job[76], END, 118940.8978397362
DEBUG:root:Time[131767.39572 ms]: Job[81], START, G8-G9-G10-G11
DEBUG:root:Time[134726.31638 ms]: Job[82], START, G24-G25-G26-G27-G28-G29-G30-G31
DEBUG:root:Time[134780.64315 ms]: Job[64], END, 124756.26101826894
DEBUG:root:Time[136541.70748 ms]: Job[83], START, G40-G41-G42-G43-G44-G45-G46-G47
DEBUG:root:Time[136597.73772 ms]: Job[68], END, 125728.90720976671
DEBUG:root:Time[138137.70748 ms]: Job[83], END, 123782.57074314452
DEBUG:root:Time[138137.84971 ms]: Job[84], START, G40-G41-G42-G43-G44-G45-G46-G47
DEBUG:root:Time[139666.06905 ms]: Job[85], START, G0-G1-G2-G3-G4-G5-G6-G7
DEBUG:root:Time[139699.94871 ms]: Job[73], END, 127433.80977824498
DEBUG:root:Time[141052.06905 ms]: Job[85], END, 126536.42704489315
DEBUG:root:Time[141060.92305 ms]: Job[86], START, G0-G1-G2-G3-G4-G5-G6-G7
DEBUG:root:Time[141060.92305 ms]: Job[87], START, G12-G13-G14-G15
DEBUG:root:Time[141756.86871 ms]: Job[88], START, G56-G57
DEBUG:root:Time[141756.86871 ms]: Job[89], START, G58-G59
DEBUG:root:Time[141800.19315 ms]: Job[66], END, 131247.9914244879
DEBUG:root:Time[141919.70371 ms]: Job[90], START, G32-G33-G34-G35-G36-G37-G38-G39
DEBUG:root:Time[141943.45638 ms]: Job[72], END, 129696.64119092195
DEBUG:root:Time[143713.33871 ms]: Job[88], END, 128287.21658213902
DEBUG:root:Time[143963.81863 ms]: Job[89], END, 128175.90167511847
DEBUG:root:Time[143970.13971 ms]: Job[91], START, G56-G57-G58-G59-G60-G61-G62-G63
DEBUG:root:Time[144094.84971 ms]: Job[84], END, 129583.04321114674
DEBUG:root:Time[144099.03638 ms]: Job[92], START, G40-G41-G42-G43-G44-G45-G46-G47
DEBUG:root:Time[147230.90305 ms]: Job[93], START, G16-G17-G18-G19-G20-G21-G22-G23
DEBUG:root:Time[147264.07338 ms]: Job[69], END, 136098.05442669961
DEBUG:root:Time[149338.50815 ms]: Job[94], START, G12-G13-G14-G15
DEBUG:root:Time[149347.70038 ms]: Job[87], END, 134499.11022489853
DEBUG:root:Time[150704.92000 ms]: Job[94], END, 133999.0202017811
