0,1205.66,inf,1.18
1,1402.96,inf,1.18
2,1318.40,inf,1.18
3,1092.91,inf,1.18
4,839.23,inf,1.18
5,1092.91,inf,1.18
6,1092.91,inf,1.18
7,1092.91,inf,1.18
8,1149.28,inf,1.18
9,1121.10,inf,1.18
10,980.16,inf,1.18
11,867.41,inf,1.18
12,1121.10,inf,1.18
13,1036.54,inf,1.18
14,811.04,inf,1.18
15,867.41,inf,1.18
16,1177.47,inf,1.18
17,1205.66,inf,1.18
18,951.98,inf,1.18
19,1064.72,inf,1.18
20,1092.91,inf,1.18
21,1149.28,inf,1.18
22,1205.66,inf,1.18
23,1064.72,inf,1.18
24,1149.28,inf,1.18
25,1233.84,inf,1.18
26,1233.84,inf,1.18
27,1008.35,inf,1.18
28,1262.03,inf,1.18
