DEBUG:root:Time[18827.76848 ms]: Job[80], ARRIVE, resnet50-8
DEBUG:root:Time[19192.30032 ms]: Job[81], ARRIVE, vgg16-1
DEBUG:root:Time[19836.08653 ms]: Job[82], ARRIVE, vgg16-2
DEBUG:root:Time[19876.34318 ms]: Job[83], ARRIVE, mobilenet-2
DEBUG:root:Time[20093.27054 ms]: Job[84], ARRIVE, gpt-2
DEBUG:root:Time[20098.58124 ms]: Job[85], ARRIVE, gpt-8
DEBUG:root:Time[20117.03273 ms]: Job[86], ARRIVE, gpt-8
DEBUG:root:Time[20559.58637 ms]: Job[87], ARRIVE, vgg16-8
DEBUG:root:Time[21359.24603 ms]: Job[88], ARRIVE, vgg16-2
DEBUG:root:Time[21860.19271 ms]: Job[89], ARRIVE, mobilenet-4
DEBUG:root:Time[22072.65602 ms]: Job[90], ARRIVE, gpt-4
DEBUG:root:Time[22129.67689 ms]: Job[91], ARRIVE, gpt-4
DEBUG:root:Time[22285.12403 ms]: Job[92], ARRIVE, mobilenet-8
DEBUG:root:Time[23084.49761 ms]: Job[93], ARRIVE, mobilenet-2
DEBUG:root:Time[23131.24587 ms]: Job[94], ARRIVE, gpt-8
DEBUG:root:Time[23474.74486 ms]: Job[95], ARRIVE, mobilenet-8
DEBUG:root:Time[23688.69492 ms]: Job[96], ARRIVE, vgg16-1
DEBUG:root:Time[23887.20950 ms]: Job[97], ARRIVE, gpt-4
DEBUG:root:Time[24025.84399 ms]: Job[98], ARRIVE, gpt-8
DEBUG:root:Time[24098.95620 ms]: Job[99], ARRIVE, vgg16-1
DEBUG:root:Time[24486.64604 ms]: Job[100], ARRIVE, gpt-8
DEBUG:root:Time[25083.21306 ms]: Job[101], ARRIVE, mobilenet-1
DEBUG:root:Time[25196.17442 ms]: Job[102], ARRIVE, gpt-2
DEBUG:root:Time[25721.29704 ms]: Job[103], ARRIVE, gpt-8
DEBUG:root:Time[25951.51885 ms]: Job[104], ARRIVE, vgg16-1
DEBUG:root:Time[25967.70999 ms]: Job[105], ARRIVE, mobilenet-8
DEBUG:root:Time[26123.52588 ms]: Job[106], ARRIVE, vgg16-8
DEBUG:root:Time[26449.44528 ms]: Job[107], ARRIVE, mobilenet-4
DEBUG:root:Time[26819.31324 ms]: Job[108], ARRIVE, gpt-4
DEBUG:root:Time[26966.98288 ms]: Job[109], ARRIVE, gpt-8
DEBUG:root:Time[27451.61987 ms]: Job[110], ARRIVE, gpt-8
DEBUG:root:Time[28668.83534 ms]: Job[111], ARRIVE, gpt-8
DEBUG:root:Time[29286.34491 ms]: Job[112], ARRIVE, vgg16-1
DEBUG:root:Time[29406.50991 ms]: Job[113], ARRIVE, gpt-8
DEBUG:root:Time[30079.88596 ms]: Job[114], ARRIVE, resnet50-1
DEBUG:root:Time[30169.69735 ms]: Job[115], ARRIVE, gpt-8
DEBUG:root:Time[30407.33709 ms]: Job[116], ARRIVE, gpt-4
DEBUG:root:Time[30541.37261 ms]: Job[117], ARRIVE, vgg16-8
DEBUG:root:Time[30791.48812 ms]: Job[118], ARRIVE, gpt-8
DEBUG:root:Time[30979.84456 ms]: Job[119], ARRIVE, mobilenet-4
DEBUG:root:Time[0.00000 ms]: Job[ 0], START, G0-G1-G2-G3-G4-G5-G6-G7
DEBUG:root:Time[340.78151 ms]: Job[ 1], START, G8-G9-G10-G11
DEBUG:root:Time[362.67092 ms]: Job[ 2], START, G12-G13
DEBUG:root:Time[588.14366 ms]: Job[ 3], START, G14-G15-G16-G17-G18-G19-G20-G21
DEBUG:root:Time[591.29101 ms]: Job[ 4], START, G22-G23-G24-G25
DEBUG:root:Time[1210.34530 ms]: Job[ 5], START, G32-G33-G34-G35-G36-G37-G38-G39
DEBUG:root:Time[1335.47388 ms]: Job[ 6], START, G26-G27-G28-G29
DEBUG:root:Time[1401.13019 ms]: Job[ 7], START, G30-G31
DEBUG:root:Time[1448.53279 ms]: Job[ 8], START, G40
DEBUG:root:Time[1569.09762 ms]: Job[ 9], START, G41-G42-G43-G44-G45-G46-G47-G48
DEBUG:root:Time[1572.13771 ms]: Job[10], START, G49-G50-G51-G52-G53-G54-G55-G56
DEBUG:root:Time[1712.09434 ms]: Job[ 4], END, 1120.8033333333328
DEBUG:root:Time[1807.36804 ms]: Job[11], START, G22
DEBUG:root:Time[2265.32781 ms]: Job[12], START, G24-G25
DEBUG:root:Time[2296.50000 ms]: Job[ 0], END, 2296.4999999999995
DEBUG:root:Time[2476.63410 ms]: Job[13], START, G0
DEBUG:root:Time[2801.51279 ms]: Job[ 8], END, 1352.9799999999998
DEBUG:root:Time[2847.93416 ms]: Job[14], START, G1
DEBUG:root:Time[2907.55699 ms]: Job[ 3], END, 2319.413333333333
DEBUG:root:Time[3242.05383 ms]: Job[15], START, G40-G14-G15-G2-G3-G4-G5-G6
DEBUG:root:Time[3313.38319 ms]: Job[16], START, G7-G16-G17-G18-G19-G20-G21-G23
DEBUG:root:Time[3720.81278 ms]: Job[17], START, G57-G58-G59-G60
DEBUG:root:Time[3795.52178 ms]: Job[18], START, G61-G62
DEBUG:root:Time[3829.01484 ms]: Job[19], START, G63
DEBUG:root:Time[4111.22899 ms]: Job[20], START, G64-G65-G66-G67-G68-G69-G70-G71
DEBUG:root:Time[4140.13410 ms]: Job[13], END, 1663.4999999999995
DEBUG:root:Time[4240.06351 ms]: Job[ 1], END, 3899.281998869096
DEBUG:root:Time[4255.15605 ms]: Job[21], START, G72-G73-G74-G75-G76-G77-G78-G79
DEBUG:root:Time[4369.66804 ms]: Job[11], END, 2562.3000000000006
DEBUG:root:Time[4394.00387 ms]: Job[10], END, 2821.8661666666662
DEBUG:root:Time[4438.13887 ms]: Job[22], START, G8-G9-G10-G11
DEBUG:root:Time[4533.61416 ms]: Job[14], END, 1685.6800000000003
DEBUG:root:Time[4547.72947 ms]: Job[23], START, G22-G56-G0-G1
DEBUG:root:Time[5185.08848 ms]: Job[24], START, G49-G50-G51-G52-G53-G54-G55-G80
DEBUG:root:Time[5204.14073 ms]: Job[25], START, G81
DEBUG:root:Time[5551.76092 ms]: Job[ 2], END, 5189.089999999995
DEBUG:root:Time[5709.86612 ms]: Job[17], END, 1989.0533333333274
DEBUG:root:Time[5764.87281 ms]: Job[26], START, G88-G89-G90-G91-G92-G93-G94-G95
DEBUG:root:Time[5803.28268 ms]: Job[27], START, G12-G13-G57-G58-G59-G60-G82-G83
DEBUG:root:Time[6083.86731 ms]: Job[16], END, 2770.484124999998
DEBUG:root:Time[6034.09762 ms]: Job[28], START, G7-G84-G85-G86-G87-G16-G17-G18
DEBUG:root:Time[6034.09762 ms]: Job[29], START, G19-G20-G21-G23
DEBUG:root:Time[6375.98484 ms]: Job[19], END, 2546.9700000000007
DEBUG:root:Time[6604.18947 ms]: Job[23], END, 2056.45999999999
DEBUG:root:Time[6581.22576 ms]: Job[30], START, G22-G0-G1-G56
DEBUG:root:Time[6745.18508 ms]: Job[15], END, 3503.1312499999945
DEBUG:root:Time[6710.71476 ms]: Job[31], START, G40-G63
DEBUG:root:Time[6799.38079 ms]: Job[22], END, 2361.2419168787683
DEBUG:root:Time[6802.52781 ms]: Job[32], START, G2-G3-G4-G5-G6-G8-G9-G10
DEBUG:root:Time[6901.15605 ms]: Job[21], END, 2646.0
DEBUG:root:Time[7276.50117 ms]: Job[33], START, G11-G14-G15-G72-G73-G74-G75-G76
DEBUG:root:Time[7611.55073 ms]: Job[25], END, 2407.41
DEBUG:root:Time[7812.30655 ms]: Job[ 6], END, 6476.832666666674
DEBUG:root:Time[7787.00553 ms]: Job[34], START, G81-G77-G78-G79-G26-G27-G28-G29
DEBUG:root:Time[8556.58512 ms]: Job[ 9], END, 6987.4875
DEBUG:root:Time[8552.73019 ms]: Job[35], START, G48-G41-G42-G43-G44-G45-G46-G47
DEBUG:root:Time[8645.99530 ms]: Job[ 5], END, 7435.650000000001
DEBUG:root:Time[8617.41078 ms]: Job[36], START, G32-G33-G34-G35
DEBUG:root:Time[8838.98826 ms]: Job[37], START, G36
DEBUG:root:Time[9341.73335 ms]: Job[27], END, 3538.4506666666684
DEBUG:root:Time[9312.95613 ms]: Job[38], START, G57-G58-G59-G60
DEBUG:root:Time[9334.65288 ms]: Job[39], START, G12
DEBUG:root:Time[9595.03281 ms]: Job[32], END, 2897.419349562937
DEBUG:root:Time[9525.71209 ms]: Job[40], START, G82-G83-G37-G38-G39-G8-G9-G10
DEBUG:root:Time[9525.71209 ms]: Job[41], START, G13-G2-G3-G4
DEBUG:root:Time[9919.63096 ms]: Job[29], END, 3930.578364453182
DEBUG:root:Time[9998.28521 ms]: Job[28], END, 4062.8707628583097
DEBUG:root:Time[10213.61836 ms]: Job[24], END, 5028.5298749999865
DEBUG:root:Time[10524.66826 ms]: Job[37], END, 1685.6800000000003
DEBUG:root:Time[10588.54643 ms]: Job[31], END, 4393.576060935538
DEBUG:root:Time[11066.30411 ms]: Job[35], END, 3227.2534248501242
DEBUG:root:Time[11015.22775 ms]: Job[42], START, G40-G41-G42-G43-G44-G45-G46-G47
DEBUG:root:Time[11015.22775 ms]: Job[43], START, G36-G63-G5-G6-G7-G80-G84-G85
DEBUG:root:Time[11015.22775 ms]: Job[44], START, G16
DEBUG:root:Time[11015.22775 ms]: Job[45], START, G86-G87-G17-G18
