0,34.40
1,34.40
2,34.40
3,34.40
4,34.40
5,34.40
6,34.40
7,34.40
8,36.10
9,37.60
10,37.60
11,37.60
12,37.60
13,37.60
14,37.60
15,37.60
16,34.40
17,34.40
18,34.40
19,34.40
20,34.40
21,34.40
22,34.40
23,34.40
24,34.40
25,34.40
26,37.60
27,37.60
28,37.60
29,37.60
30,37.60
31,37.60
32,35.89
33,34.40
34,34.40
35,34.40
36,34.40
37,34.40
38,34.40
39,34.40
40,34.40
41,34.40
42,34.40
43,37.60
44,37.60
45,37.60
46,37.60
47,37.60
48,37.60
49,37.60
50,34.40
51,34.40
52,34.40
53,34.40
54,34.40
55,34.40
56,34.40
57,34.40
58,34.40
59,34.40
60,34.61
61,37.60
62,37.60
63,37.60
64,37.60
65,37.60
66,37.60
67,37.60
68,34.40
69,34.40
70,34.40
71,34.40
72,34.40
73,34.40
74,34.40
75,34.40
76,34.40
77,34.40
78,37.60
79,37.60
80,37.60
