DEBUG:root:Time[26608.39291 ms]: Job[41], ARRIVE, vgg16-1
DEBUG:root:Time[27190.90331 ms]: Job[42], ARRIVE, gpt-4
DEBUG:root:Time[27618.01492 ms]: Job[43], ARRIVE, gpt-4
DEBUG:root:Time[28365.38803 ms]: Job[31], END, 5353.408189576901
DEBUG:root:Time[28371.23363 ms]: Job[41], START, G6
DEBUG:root:Time[29316.37384 ms]: Job[37], START, G6-G7
DEBUG:root:Time[29324.97363 ms]: Job[41], END, 2716.5807226662473
DEBUG:root:Time[29693.65252 ms]: Job[44], ARRIVE, gpt-4
DEBUG:root:Time[30447.34298 ms]: Job[45], ARRIVE, vgg16-4
DEBUG:root:Time[30723.54269 ms]: Job[46], ARRIVE, mobilenet-4
DEBUG:root:Time[31109.87205 ms]: Job[47], ARRIVE, vgg16-4
DEBUG:root:Time[31466.28785 ms]: Job[48], ARRIVE, resnet50-4
DEBUG:root:Time[31628.97809 ms]: Job[49], ARRIVE, vgg16-4
DEBUG:root:Time[33650.88180 ms]: Job[11], END, 23676.444776438926
DEBUG:root:Time[33651.81260 ms]: Job[39], START, G12-G15
DEBUG:root:Time[34022.42517 ms]: Job[50], ARRIVE, gpt-2
DEBUG:root:Time[34224.47893 ms]: Job[51], ARRIVE, mobilenet-2
DEBUG:root:Time[36129.63834 ms]: Job[52], ARRIVE, gpt-4
DEBUG:root:Time[36250.75178 ms]: Job[39], END, 10316.246981310771
DEBUG:root:Time[36250.77428 ms]: Job[50], START, G12-G15
DEBUG:root:Time[36899.25181 ms]: Job[53], ARRIVE, resnet50-2
DEBUG:root:Time[38594.81831 ms]: Job[54], ARRIVE, gpt-4
DEBUG:root:Time[38616.82984 ms]: Job[55], ARRIVE, vgg16-4
DEBUG:root:Time[39932.76470 ms]: Job[56], ARRIVE, gpt-4
DEBUG:root:Time[40162.08226 ms]: Job[57], ARRIVE, gpt-4
DEBUG:root:Time[40752.95701 ms]: Job[58], ARRIVE, resnet50-1
DEBUG:root:Time[40919.34352 ms]: Job[59], ARRIVE, gpt-4
DEBUG:root:Time[41561.22507 ms]: Job[12], END, 30520.388882808882
DEBUG:root:Time[41569.26481 ms]: Job[58], START, G8
DEBUG:root:Time[41569.26481 ms]: Job[51], START, G9-G10
DEBUG:root:Time[43526.73381 ms]: Job[53], START, G8-G11
DEBUG:root:Time[43529.93147 ms]: Job[51], END, 9305.452541011204
DEBUG:root:Time[43557.99481 ms]: Job[58], END, 2805.0377944617503
DEBUG:root:Time[45554.26305 ms]: Job[53], END, 8655.011243237968
DEBUG:root:Time[45560.94162 ms]: Job[15], START, G8-G9-G10-G11
DEBUG:root:Time[45810.90465 ms]: Job[50], END, 11788.4794802861
DEBUG:root:Time[47127.64543 ms]: Job[15], END, 34214.144667033615
DEBUG:root:Time[47158.85584 ms]: Job[18], START, G8-G9-G10-G11
DEBUG:root:Time[49432.47780 ms]: Job[37], END, 24332.323173112054
