0,40.55
1,40.55
2,46.87
3,40.55
4,40.55
5,40.55
6,40.55
7,40.55
8,40.55
9,56.35
10,40.55
11,40.55
12,40.55
13,40.55
14,40.55
15,40.55
16,40.55
17,54.77
18,40.55
19,40.55
20,40.55
21,40.55
22,40.55
23,40.55
24,48.45
25,40.55
26,40.55
27,40.55
28,40.55
29,40.55
30,40.55
31,40.55
32,62.67
33,40.55
34,40.55
35,40.55
36,40.55
37,40.55
38,40.55
39,42.13
40,46.87
41,40.55
42,40.55
43,40.55
44,40.55
45,40.55
46,40.55
47,56.35
48,40.55
49,40.55
50,40.55
51,40.55
52,40.55
53,40.55
54,40.55
55,54.77
56,54.77
57,56.35
58,56.35
59,56.35
60,56.35
61,56.35
62,56.35
63,56.35
64,56.35
65,56.35
66,56.35
67,56.35
68,56.35
69,56.35
70,56.35
71,56.35
72,56.35
73,56.35
74,56.35
75,56.35
76,56.35
77,56.35
78,56.35
79,56.35
80,56.35
81,56.35
82,56.35
83,56.35
84,56.35
85,56.35
86,56.35
87,56.35
88,56.35
89,56.35
90,56.35
91,56.35
92,56.35
93,56.35
94,56.35
95,56.35
96,56.35
97,56.35
98,56.35
99,56.35
100,56.35
101,56.35
102,56.35
103,56.35
104,56.35
105,56.35
106,56.35
107,56.35
108,56.35
109,56.35
