DEBUG:root:Time[60506.48397 ms]: Job[29], START, G12-G13-G14-G15
DEBUG:root:Time[61220.52914 ms]: Job[30], ARRIVE, gpt-2
DEBUG:root:Time[61220.52914 ms]: Job[30], START, G6-G7
DEBUG:root:Time[61908.13618 ms]: Job[31], ARRIVE, mobilenet-1
DEBUG:root:Time[61908.13618 ms]: Job[31], START, G10
DEBUG:root:Time[61923.34194 ms]: Job[32], ARRIVE, gpt-2
DEBUG:root:Time[61923.34194 ms]: Job[32], START, G16-G17
DEBUG:root:Time[63649.18618 ms]: Job[31], END, 1741.050000000003
DEBUG:root:Time[64386.49612 ms]: Job[22], END, 17083.527485381142
DEBUG:root:Time[65626.99913 ms]: Job[33], ARRIVE, mobilenet-4
DEBUG:root:Time[65626.99913 ms]: Job[33], START, G20-G21-G22-G23
DEBUG:root:Time[66185.23335 ms]: Job[34], ARRIVE, gpt-2
DEBUG:root:Time[66185.23335 ms]: Job[34], START, G0-G1
DEBUG:root:Time[67229.30984 ms]: Job[33], END, 1602.3107142864174
DEBUG:root:Time[67297.26595 ms]: Job[19], END, 24305.501111110963
DEBUG:root:Time[67453.59233 ms]: Job[35], ARRIVE, gpt-4
DEBUG:root:Time[67453.59233 ms]: Job[35], START, G20-G21-G22-G23
DEBUG:root:Time[68270.07390 ms]: Job[36], ARRIVE, vgg16-1
DEBUG:root:Time[68270.07390 ms]: Job[36], START, G2
DEBUG:root:Time[69142.87127 ms]: Job[28], END, 9723.983099414698
DEBUG:root:Time[69359.32902 ms]: Job[32], END, 7435.987076022837
DEBUG:root:Time[69401.25390 ms]: Job[36], END, 1131.179999999993
DEBUG:root:Time[70191.08874 ms]: Job[26], END, 13552.043742690716
DEBUG:root:Time[71296.53907 ms]: Job[37], ARRIVE, mobilenet-2
DEBUG:root:Time[71296.53907 ms]: Job[37], START, G2-G3
DEBUG:root:Time[71623.87391 ms]: Job[29], END, 11117.389941520712
DEBUG:root:Time[72000.56394 ms]: Job[30], END, 10780.034795322448
DEBUG:root:Time[72736.50048 ms]: Job[38], ARRIVE, gpt-4
DEBUG:root:Time[72736.50048 ms]: Job[38], START, G4-G5-G6-G7
DEBUG:root:Time[74791.15272 ms]: Job[37], END, 3494.6136452248757
DEBUG:root:Time[78693.07818 ms]: Job[39], ARRIVE, gpt-4
DEBUG:root:Time[78693.07818 ms]: Job[39], START, G8-G9-G10-G11
DEBUG:root:Time[79145.96189 ms]: Job[34], END, 12960.728538010168
DEBUG:root:Time[79533.37940 ms]: Job[40], ARRIVE, gpt-4
